label,temperature,N,P,K,ph,humidity
maize,19.29563411,76,48,18,5.77597783,69.63481219
maize,20.68899915,75,53,18,6.864793607,59.4375337
maize,19.32666088,81,45,23,6.192360003,68.034493
maize,24.60532218,73,45,21,6.636803223,73.58868502
maize,22.27373646,71,35,24,5.826426917,59.52193158
maize,25.70196694,96,54,22,6.960358276,61.33450447
maize,19.20129357,99,39,18,6.11275104,68.30578978
maize,21.70181447,62,48,20,6.708446922,60.47470519
maize,20.51716779,86,37,16,5.561510732,59.21235483
maize,23.30355338,94,50,19,5.873242491,73.62548442
maize,24.2547451,76,39,24,6.995843776,55.64709899
maize,24.86374934,77,52,17,5.714799723,65.7420046
maize,22.6265115,74,39,23,6.78073637,65.77472881
maize,18.04185513,81,49,20,5.513697923,60.61494304
maize,23.26237612,63,42,21,5.798423908,72.33125523
maize,22.88330922,99,38,21,6.352471866,71.59722446
maize,25.97482359,90,52,25,6.822586546,69.36385721
maize,26.14384005,68,40,19,6.655426355,66.20569924
maize,18.66116213,60,57,24,6.121294041,61.55327249
maize,25.10787449,71,52,18,5.790770203,55.97732754
maize,23.33844615,61,59,17,6.47444292,59.24580604
maize,25.08239719,88,38,15,6.455116637,65.92195844
maize,25.36768364,65,60,22,6.606984086,72.52054555
maize,25.34217103,78,37,22,6.330554389,63.31801994
maize,25.00933355,78,58,15,6.528631266,67.816568
maize,18.66746724,92,60,23,5.721667141,71.516474
maize,20.37999665,79,59,17,6.644205485,63.73849998
maize,18.09300227,91,55,15,6.376651091,72.61024172
maize,26.16985907,76,51,18,6.247040422,71.96246617
maize,18.65396672,87,48,25,6.656730008,61.37879671
maize,26.07470121,71,60,22,6.2048017,59.37147589
maize,18.92851916,90,57,24,6.158860284,72.80086137
maize,23.30546753,67,35,22,6.385684214,63.24648023
maize,18.74826712,60,54,19,6.417820493,62.49878458
maize,19.74213321,83,58,23,6.381201909,59.66263104
maize,25.73044432,83,57,19,6.877869005,70.74739256
chickpea,17.02498456,40,72,77,7.485996067,16.98861173
chickpea,19.02061277,23,72,84,6.920251378,17.13159126
chickpea,17.88776475,39,58,85,5.996932037,15.40589717
chickpea,18.86805647,22,72,85,6.391173589,15.65809214
chickpea,18.36952567,36,67,77,7.152811172,19.56381041
chickpea,20.45078582,32,73,81,5.988992796,15.40312102
chickpea,20.6543203,58,70,84,6.231049028,16.60820843
chickpea,17.3348681,59,70,84,7.550808267,18.74926979
chickpea,18.17912258,42,62,75,7.010570541,18.90426935
chickpea,18.01272266,28,74,81,8.753795334,18.30968112
chickpea,20.99373558,58,66,79,8.718192847,19.33470387
chickpea,19.46233971,43,66,79,7.976607593,15.22538951
chickpea,19.81344531,58,63,81,6.515499549,14.69765308
chickpea,18.97424756,23,62,85,8.490127142,19.5161216
chickpea,18.19737048,27,62,77,6.576415562,14.71070537
chickpea,18.72963144,28,72,84,6.481783043,19.18197264
chickpea,20.99502153,50,56,76,7.966605025,19.8601304
chickpea,20.28155898,39,71,84,8.140825437,16.39535215
chickpea,17.48042641,25,78,76,7.228963452,15.7559405
chickpea,20.88818675,31,70,77,6.492546046,14.32313811
chickpea,17.08498521,26,80,83,7.528599957,16.14565756
chickpea,20.09340593,25,68,77,7.701446446,15.11279612
chickpea,17.57212145,31,78,76,8.519975748,14.99927489
chickpea,19.12065218,60,68,83,6.620900869,18.43475844
chickpea,18.57665902,59,62,83,8.104396058,19.22008229
chickpea,17.16606398,22,67,78,6.204090835,14.42457525
chickpea,18.2872007,36,65,80,6.051091339,16.67921616
chickpea,19.03025305,59,60,84,7.690962338,18.66725565
chickpea,17.1418614,54,77,85,7.829211144,17.0662427
chickpea,17.47809436,43,68,81,6.761599706,17.93253975
chickpea,20.56601874,28,76,82,6.654425315,14.25803981
chickpea,17.22385224,42,79,85,6.129533877,15.82069268
chickpea,19.69141713,32,60,83,8.829273328,19.44225438
chickpea,17.84851658,22,78,76,8.621662982,19.09172907
chickpea,18.8202251,31,79,75,8.204862075,16.1074793
chickpea,17.47500984,28,58,81,6.18042747,16.54314829
chickpea,18.72649425,57,58,77,7.978996755,17.58406365
chickpea,18.65580107,49,55,78,7.863113671,16.17772668
chickpea,18.2356751,46,76,77,6.967843048,19.68538502
chickpea,18.81198127,54,61,77,6.206582193,15.21618225
chickpea,18.65054116,38,60,76,8.868741443,17.80852431
chickpea,20.36720401,59,55,79,8.766128654,16.89574311
chickpea,18.38120357,36,76,75,8.736337905,16.63805158
chickpea,17.17012591,57,68,81,8.081095263,17.30457712
chickpea,19.37101121,35,66,81,6.138243973,15.77458129
chickpea,17.92845928,35,64,78,7.496645259,14.27327988
chickpea,19.45339934,52,60,79,8.380185271,18.23490739
chickpea,19.12829388,27,76,83,6.289614016,14.92241479
chickpea,19.1034283,57,60,84,6.586777189,17.26184541
chickpea,17.48504075,52,68,78,6.89655198,16.96070581
chickpea,19.40751744,43,79,79,7.806747656,18.98030507
chickpea,20.18649426,44,74,85,7.150681303,19.63719995
chickpea,17.30287885,24,55,78,6.64919573,15.15405941
chickpea,17.50361137,29,77,75,7.778591618,15.48083156
chickpea,18.17234999,20,60,78,6.358740355,14.70085967
chickpea,17.57445618,56,67,78,8.255450758,16.71826572
chickpea,20.93175255,37,66,85,6.456148474,18.91295403
chickpea,19.71098332,49,71,76,6.613072145,17.63879418
chickpea,19.07937684,59,69,80,8.165359297,17.86754927
chickpea,18.54988627,20,79,77,7.64867466,16.02542689
chickpea,18.19903647,24,56,85,6.545888558,17.41333199
chickpea,18.88852533,51,72,75,7.104224797,14.99451145
chickpea,18.49311205,57,73,85,7.358099622,14.72115044
chickpea,19.48974337,22,64,82,6.4740245,17.17260319
chickpea,17.25769499,52,73,79,7.840339389,18.74943955
chickpea,19.62416326,29,75,75,7.064790365,18.71483156
chickpea,20.67526473,44,59,78,7.599033472,19.85388984
chickpea,20.02381489,41,69,82,6.715587232,16.63294455
chickpea,20.1187446,52,56,85,6.81712422,14.44228303
chickpea,20.65691793,34,76,80,7.985417393,15.84572566
chickpea,19.2582557,42,74,83,7.545258424,14.2804191
chickpea,17.927806,34,71,79,7.728998197,15.85622899
chickpea,19.16288268,27,73,79,7.354973451,15.83500655
chickpea,20.26942271,30,70,79,7.313122235,19.96978871
chickpea,17.09104223,57,57,75,7.785039076,18.25142068
chickpea,17.06579293,27,79,82,6.307004923,17.54024066
chickpea,20.62767492,32,71,85,6.403982316,14.44008871
chickpea,20.8248451,31,76,82,7.599279991,17.85057083
chickpea,19.46210401,33,75,84,7.217018459,18.72831993
chickpea,17.18248372,47,80,77,7.561108006,16.42891834
chickpea,17.48911699,54,62,80,7.489545074,16.39055394
chickpea,17.48395377,47,79,78,6.609696734,14.76014523
chickpea,19.48316794,35,57,83,7.476800943,17.44534641
chickpea,19.71359733,53,73,77,7.325451279,18.09665739
chickpea,19.48649305,45,61,78,6.489389282,16.06240074
chickpea,19.95264829,37,78,79,7.786366322,14.82633099
chickpea,19.41789736,30,75,81,6.408437886,16.80472243
chickpea,19.45591848,37,55,82,8.423873703,18.02235902
chickpea,20.19137759,53,65,76,8.719960893,16.41998269
chickpea,18.8392908,22,60,85,7.811997977,14.74071856
chickpea,20.71219282,60,61,78,6.317153205,19.83643308
chickpea,18.99424448,42,67,77,7.114405288,15.9362937
chickpea,19.96837462,39,76,76,8.135900726,15.57324389
chickpea,17.81564548,35,63,76,7.714153038,17.60756635
chickpea,20.71424384,30,65,82,7.103798069,15.27824066
chickpea,17.34150229,57,56,78,8.861479668,18.75626255
chickpea,17.43732714,48,65,78,7.861128148,14.33847406
chickpea,18.89780215,36,56,83,7.4526709,19.76182946
chickpea,18.59190771,40,58,75,7.168096055,14.77959596
chickpea,18.31561493,49,69,82,7.26311855,15.36143547
kidneybeans,17.13692774,13,60,25,5.68597166,20.59541693
kidneybeans,19.63474332,25,70,16,5.759237003,18.90705639
kidneybeans,22.91350245,31,55,22,5.873171894,21.33953114
kidneybeans,16.43340342,40,64,16,5.926676985,24.24045875
kidneybeans,22.13974653,2,61,20,5.95561668,23.02251117
kidneybeans,17.84806561,26,65,22,5.949949081,18.77621951
kidneybeans,19.88394011,17,57,21,5.789214289,20.31564139
kidneybeans,19.32509638,26,80,18,5.581021521,23.3334788
kidneybeans,18.4167001,17,59,17,5.689858133,23.42829938
kidneybeans,21.81167649,27,59,22,5.794158504,23.20591245
kidneybeans,19.72702528,28,58,24,5.748190463,18.28173015
kidneybeans,17.15432954,25,57,19,5.566522896,19.87070659
kidneybeans,19.62207826,28,80,17,5.809419584,18.67170854
kidneybeans,21.63149148,25,60,22,5.887263027,21.17919701
kidneybeans,16.06522754,12,78,23,5.99812453,18.72479695
kidneybeans,20.61162204,6,77,25,5.792744849,24.36314135
kidneybeans,21.42451099,22,79,17,5.912289889,20.39659714
kidneybeans,19.07096165,27,80,15,5.788386951,21.21092266
kidneybeans,21.18853178,10,55,23,5.728233081,19.63438599
kidneybeans,23.0429097,23,65,20,5.833940084,22.42610972
kidneybeans,20.65375833,19,78,16,5.967533236,23.10538637
kidneybeans,18.09551014,19,65,25,5.625096446,18.29318436
kidneybeans,18.23775702,22,70,19,5.515615023,21.07643273
kidneybeans,17.48189735,37,64,22,5.954665349,18.8251973
kidneybeans,19.9191786,11,71,17,5.74644777,21.47324158
kidneybeans,20.27514686,18,79,20,5.877347515,23.2353604
kidneybeans,15.77370214,21,63,17,5.979973965,19.2303162
kidneybeans,16.71170642,24,80,22,5.635993966,19.17651433
kidneybeans,17.66148158,34,60,22,5.635231778,18.15302753
kidneybeans,18.50692825,16,75,21,5.679224346,23.61670065
kidneybeans,24.51324787,17,77,23,5.670062975,20.81527638
kidneybeans,18.87614998,37,72,18,5.724242065,24.54038287
kidneybeans,21.59343016,40,73,20,5.811314232,20.31871249
kidneybeans,20.12373284,9,77,17,5.783425416,24.45202552
kidneybeans,15.43546065,1,62,23,5.607808432,18.37477907
kidneybeans,22.64236876,33,59,22,5.946999529,21.59396123
kidneybeans,21.98560799,23,59,19,5.852046999,24.87304788
kidneybeans,20.53052663,6,62,22,5.824090984,18.09224048
kidneybeans,15.78601387,25,63,20,5.502999119,21.14544088
kidneybeans,19.6365349,7,79,23,5.821649914,19.68751084
kidneybeans,20.57341244,8,72,17,5.711439256,19.7520218
kidneybeans,20.16080524,27,64,15,5.514927264,24.84207559
kidneybeans,21.53989176,28,66,23,5.99616119,24.25386207
kidneybeans,15.53834801,32,57,18,5.695422863,23.75560241
kidneybeans,19.91853092,27,56,22,5.833010958,20.70099804
kidneybeans,20.76952209,17,77,24,5.568456899,18.93146941
kidneybeans,23.46168338,0,65,15,5.645435626,23.22197648
kidneybeans,24.32116642,13,72,21,5.821194486,21.0278674
kidneybeans,20.12574053,34,60,23,5.659254981,24.96969858
kidneybeans,21.80619564,9,80,19,5.945465949,18.57086554
kidneybeans,19.52226241,11,72,20,5.951177452,24.92607153
kidneybeans,17.00067625,3,67,24,5.520880014,19.90790546
kidneybeans,16.78791503,35,69,23,5.578410206,24.96881755
kidneybeans,24.84906168,3,77,25,5.608165195,22.89464642
kidneybeans,16.51783455,23,62,19,5.609435128,20.4555596
kidneybeans,18.15300153,22,71,17,5.509295379,19.38602098
kidneybeans,23.18864385,31,79,25,5.902033406,22.3104551
kidneybeans,23.38002569,34,59,18,5.744117663,21.98879437
kidneybeans,18.358923,12,63,17,5.717143397,19.37703396
kidneybeans,19.25975367,27,56,20,5.542690119,20.51346956
kidneybeans,22.95458237,7,63,24,5.858617867,24.03553105
kidneybeans,20.120043,24,67,22,5.618844277,22.89845607
kidneybeans,21.14011423,11,71,24,5.606620346,22.7182355
kidneybeans,24.92360104,37,74,15,5.582178402,18.22590825
kidneybeans,15.33042636,25,76,24,5.56503533,24.91506728
kidneybeans,18.81097271,34,66,17,5.889614577,21.27833035
kidneybeans,23.44260668,20,69,15,5.934136378,22.77255917
kidneybeans,22.8352024,37,65,16,5.683548308,18.97267518
kidneybeans,24.9035819,18,74,15,5.70836603,22.27512704
kidneybeans,23.78709569,4,67,25,5.948164454,24.35679348
kidneybeans,22.05592283,37,56,25,5.774755144,19.60379304
kidneybeans,18.87492997,5,59,15,5.97229163,20.18238348
kidneybeans,18.62328774,11,61,21,5.532100554,23.02410338
kidneybeans,23.00884744,22,80,20,5.669560726,18.86880997
kidneybeans,19.33162606,12,61,19,5.655726817,24.13995025
kidneybeans,16.24469193,5,74,21,5.591704014,21.35793891
kidneybeans,17.91652287,27,69,22,5.932323085,24.90814655
kidneybeans,15.46789263,31,75,18,5.824208309,21.43780702
kidneybeans,17.06104474,36,68,20,5.86442953,23.77201471
kidneybeans,21.32776028,5,65,16,5.866744372,18.48522915
kidneybeans,23.90910104,32,79,15,5.706198621,20.74619325
kidneybeans,23.89756791,11,78,22,5.940546818,22.74378977
kidneybeans,22.98666928,0,55,22,5.916779289,20.57940608
kidneybeans,21.35135729,14,59,15,5.779090476,22.91244883
kidneybeans,24.1638445,29,68,23,5.82738029,19.27907819
kidneybeans,24.62835037,32,68,19,5.514234138,18.18325169
kidneybeans,21.02213209,17,64,17,5.662699104,24.93896255
kidneybeans,17.30844532,13,69,19,5.86390397,20.01730914
kidneybeans,23.82576704,14,67,22,5.624690248,24.75485098
kidneybeans,19.30607278,9,69,20,5.591560999,23.96362799
kidneybeans,16.03768615,20,73,22,5.976312538,22.33195853
kidneybeans,19.18572809,40,78,20,5.669236258,20.83398341
kidneybeans,19.92889503,27,72,23,5.961934481,21.79992115
kidneybeans,19.56376468,14,67,15,5.690065688,24.67385131
kidneybeans,18.31357543,7,56,18,5.698371311,24.32991649
kidneybeans,20.10993761,27,65,18,5.59503163,23.22323766
kidneybeans,23.60506572,30,63,16,5.525904526,21.90539577
kidneybeans,19.73136909,37,70,25,5.819403771,24.89487354
kidneybeans,20.93409877,27,63,19,5.562201934,21.1893007
kidneybeans,18.78226261,22,60,24,5.630664753,20.24768314
pigeonpeas,36.51268371,3,72,24,6.03160778,57.92887167
pigeonpeas,36.89163721,40,59,23,5.269084669,62.73178224
pigeonpeas,29.23540524,33,73,23,5.985792703,59.38967583
pigeonpeas,27.33534897,27,57,24,6.09186275,43.35795962
pigeonpeas,21.0643684,10,79,18,5.624731338,55.46985938
pigeonpeas,30.33276599,30,75,25,6.446091759,42.35249879
pigeonpeas,31.80130272,40,70,20,5.623490043,45.03186173
pigeonpeas,33.18184225,38,55,19,5.864623352,38.23184742
pigeonpeas,29.38538562,35,58,20,5.761702519,63.47742011
pigeonpeas,30.27374995,38,61,21,4.696518678,67.38680755
pigeonpeas,35.45790488,33,58,24,5.269504214,68.75810535
pigeonpeas,33.80020039,16,56,17,7.445444883,40.03262418
pigeonpeas,28.69180475,31,72,17,5.833031708,49.47225353
pigeonpeas,31.24021696,16,80,20,7.339320929,56.67369054
pigeonpeas,28.98039357,27,72,17,6.347929353,57.23265151
pigeonpeas,27.32198928,40,62,19,4.697750704,34.13737127
pigeonpeas,21.47607807,18,58,16,4.962661422,38.80023714
pigeonpeas,18.31910448,3,68,16,4.964887857,34.69776639
pigeonpeas,36.97794384,26,67,24,5.642813116,37.73992903
pigeonpeas,24.80467592,16,70,20,5.6093956,40.1242747
pigeonpeas,19.3479443,24,63,19,4.681576043,55.96805489
pigeonpeas,28.88302142,9,76,25,5.70951224,50.12323801
pigeonpeas,19.54314136,16,55,19,6.413543781,47.19188279
pigeonpeas,24.7741949,28,75,21,6.007508163,50.54621094
pigeonpeas,18.33124824,16,71,24,4.946369874,38.40975482
pigeonpeas,19.14729038,24,70,21,5.517208078,45.3733757
pigeonpeas,28.23416057,38,72,21,5.902103172,49.4421345
pigeonpeas,30.11812084,9,66,21,5.719889876,34.13307843
pigeonpeas,33.4126864,34,56,17,4.548202098,35.42910045
pigeonpeas,24.18553163,1,76,19,6.669529416,46.68746847
pigeonpeas,26.88630675,6,69,19,4.750929218,41.69617915
pigeonpeas,31.33170829,26,73,21,4.946263888,57.97429171
pigeonpeas,33.30711818,27,61,18,5.266227032,67.07780816
pigeonpeas,23.45379018,27,71,23,7.10959773,46.48714759
pigeonpeas,34.53823889,36,61,21,5.617008201,39.04468913
pigeonpeas,19.50112224,17,73,18,5.632353113,34.51086611
pigeonpeas,28.76794904,26,72,22,4.674941549,37.57792132
pigeonpeas,30.97758716,17,64,16,7.161797643,32.24914235
pigeonpeas,18.39759147,14,74,19,6.624966131,36.82639309
pigeonpeas,35.09357419,39,60,15,5.004074624,30.98685456
pigeonpeas,34.93174223,6,66,15,6.345806011,30.40046769
pigeonpeas,29.50523036,8,59,18,6.216814453,35.72032498
pigeonpeas,34.51934775,2,67,18,5.921666758,47.52980027
pigeonpeas,28.43430726,1,76,17,6.012719118,52.10010827
pigeonpeas,18.41645629,16,73,19,4.684079249,34.80541039
pigeonpeas,31.07508973,23,75,25,7.077170002,47.19847683
pigeonpeas,20.89342749,32,70,20,6.208843215,46.24856523
pigeonpeas,30.90607799,28,59,22,7.05181629,52.79913039
pigeonpeas,27.9348279,5,62,23,4.722222454,66.45457122
pigeonpeas,35.95176642,36,67,25,6.418062652,36.52780776
pigeonpeas,19.54317155,1,66,23,4.803564468,56.92831399
pigeonpeas,19.63736208,24,73,20,4.608695247,32.31528909
pigeonpeas,31.2192752,17,67,18,5.611510977,56.46868874
pigeonpeas,33.50876355,5,55,18,7.322097972,45.70976142
pigeonpeas,24.80710166,5,56,24,5.023115055,45.01110015
pigeonpeas,36.20970524,37,77,17,5.617122801,31.94550613
pigeonpeas,30.50420876,13,73,20,5.391560418,35.48885969
pigeonpeas,26.01630259,6,63,23,5.906596905,49.94704718
pigeonpeas,31.48469278,16,77,22,6.574209678,35.6395615
pigeonpeas,33.15122581,25,64,20,4.807776749,32.45974539
pigeonpeas,23.50222822,34,75,24,4.760038039,51.29019509
pigeonpeas,34.87248659,20,77,23,5.180271502,38.83786012
pigeonpeas,28.09269012,35,80,25,4.895927306,44.93322042
pigeonpeas,24.54757829,14,75,24,6.436160044,57.3414485
pigeonpeas,33.64769646,36,80,21,7.066087261,48.41490082
pigeonpeas,20.5591255,7,77,18,6.655918078,60.54880693
pigeonpeas,19.95991719,29,78,25,5.982854523,59.33157782
pigeonpeas,28.87667593,30,60,21,5.457871273,62.4901206
pigeonpeas,36.04353699,20,74,16,4.759490199,43.61444121
pigeonpeas,23.6734328,19,57,23,7.342409555,47.2879691
pigeonpeas,25.74679443,3,60,19,4.820788186,40.7192594
pigeonpeas,31.08564994,5,77,19,6.242052013,66.68832981
pigeonpeas,18.72987676,5,68,20,5.001038726,61.33186249
pigeonpeas,29.50304807,37,73,21,5.560224583,63.46513414
pigeonpeas,20.43517772,9,59,24,4.747352458,39.37252634
pigeonpeas,36.00415838,20,72,15,7.313517308,56.01334416
pigeonpeas,31.46846241,31,56,23,5.661826398,35.39454002
pigeonpeas,36.30049702,0,70,21,4.672437054,56.03021253
pigeonpeas,29.49096726,21,74,15,6.471862118,67.10604388
pigeonpeas,30.5753044,13,67,18,5.384762927,34.75591197
